prefix	lemma	gloss	context	id	source
seq2seq_def	humanista	filósofo que baseia seu sistema sobre o homem, sua situação e seu destino no universo.	<def> humanista </def> 	pt.defmod.62693	Dicio
seq2seq_def	estatuto	texto com regras que organiza e regula o funcionamento de algo (coletividade, organização, empresa, sociedade, escola, comércio etc.): os novos funcionários devem saber o estatuto da empresa.	<def> estatuto </def> 	pt.defmod.62694	Dicio
seq2seq_def	bipolaridade	psicopatologia caracterizada por variações de humor extremas, alternando estados eufóricos e depressivos em curto espaço de tempo; transtorno bipolar.	<def> bipolaridade </def> 	pt.defmod.62695	Dicio
seq2seq_def	acusado	pessoa a quem se imputa uma infração penal.	<def> acusado </def> 	pt.defmod.62696	Dicio
seq2seq_def	maçaneta	a parte mais alta da sela, na dianteira.	<def> maçaneta </def> 	pt.defmod.62697	Dicio
seq2seq_def	estupro	[figurado] distorção forçada: essa interpretação é um estupro do poema.	<def> estupro </def> 	pt.defmod.62698	Dicio
seq2seq_def	dedo-duro	diz-se de quem trai a confiança de alguém ou diz o que não era para ser dito.	<def> dedo-duro </def> 	pt.defmod.62699	Dicio
seq2seq_def	voz	[figurado] conselho que se dá a alguém; advertência, apelo: escutar a voz dos mais velhos.	<def> voz </def> 	pt.defmod.62700	Dicio
seq2seq_def	distância	espaço entre dois pontos, podendo ser medida em quilômetros, metros, centímetros e muitas outras unidades.	<def> distância </def> 	pt.defmod.62701	Dicio
seq2seq_def	hemorragia	em que há escoamento ou derramamento de sangue para fora dos vasos sanguíneos.	<def> hemorragia </def> 	pt.defmod.62702	Dicio
seq2seq_def	resumir	resumir . 	<def> resumir </def> 	pt.defmod.62703	Wikcionário
seq2seq_def	escape	local tranquilo para quem busca paz, tranquilidade, sossego; refúgio.	<def> escape </def> 	pt.defmod.62704	Dicio
seq2seq_def	consiste	ato de se constituir ou de se restringir a: sua felicidade consiste na tragédia alheia.	<def> consiste </def> 	pt.defmod.62705	Dicio
seq2seq_def	arrependimento	[religião] judaísmo e cristianismo. sentimento de contrição ou rejeição, demonstrado pelo pecador, em relação aos seus pecados, fazendo com este pratique o bem para conseguir sua remissão.	<def> arrependimento </def> 	pt.defmod.62706	Dicio
seq2seq_def	assistência	[esporte] passe que deixa o jogador pronto para fazer um gol ou uma cesta.	<def> assistência </def> 	pt.defmod.62707	Dicio
seq2seq_def	subordinação	ação ou efeito de subordinar, de submeter, de colocar algo ou alguém sob a dependência de outra coisa ou pessoa, estabelecendo uma relação de submissão, de obediência: subordinação ao marido, ao  governo.	<def> subordinação </def> 	pt.defmod.62708	Dicio
seq2seq_def	desregrado	desarranjado; desprovido de ordem: funcionário desregrado.	<def> desregrado </def> 	pt.defmod.62709	Dicio
seq2seq_def	servil	[figurado] ignóbil; de caráter ardil; que é baixo ou asqueroso.	<def> servil </def> 	pt.defmod.62710	Dicio
seq2seq_def	deturpado	que foi corrompido; que teve seu conteúdo danificado, alterado ou modificado.	<def> deturpado </def> 	pt.defmod.62711	Dicio
seq2seq_def	ostensório	custódia; receptáculo que, normalmente de ouro ou prata, guarda a hóstia antes que ela seja apresentada aos fiéis.	<def> ostensório </def> 	pt.defmod.62712	Dicio
seq2seq_def	universalizado	que foi alvo de universalização; tornado comum; de domínio público: educação universalizada.	<def> universalizado </def> 	pt.defmod.62713	Dicio
seq2seq_def	velho	que é antigo numa profissão, função ou posição: um velho professor.	<def> velho </def> 	pt.defmod.62714	Dicio
seq2seq_def	amassou	terceira pessoa do singular do pretérito perfeito do modo indicativo do verbo amassar . 	<def> amassou </def> 	pt.defmod.62715	Wikcionário
seq2seq_def	jaca	[pejorativo] designação das nádegas da mulher.	<def> jaca </def> 	pt.defmod.62716	Dicio
seq2seq_def	concordar	combinar uma : a cor dos móveis concorda com a pintura das paredes.	<def> concordar </def> 	pt.defmod.62717	Dicio
seq2seq_def	caramelo	rebuçado . 	<def> caramelo </def> 	pt.defmod.62718	Wikcionário
seq2seq_def	folhetim	romance de folhetim, o que é publicado em episódios pela imprensa, suscitando o interesse do leitor.	<def> folhetim </def> 	pt.defmod.62719	Dicio
seq2seq_def	bípede	[veterinária] cada par de pernas de um cavalo: bípede dianteiro ou traseiro.	<def> bípede </def> 	pt.defmod.62720	Dicio
seq2seq_def	propano	gás que contém três átomos de carbono e oito de hidrogênio; fórmula: c3h8 . 	<def> propano </def> 	pt.defmod.62721	Wikcionário
seq2seq_def	videoconferência	conferência televisiva e interativa cuja transmissão pode ser efetuada através de uma televisão ou por meio de computadores.	<def> videoconferência </def> 	pt.defmod.62722	Dicio
seq2seq_def	congelo	variação de congelação.	<def> congelo </def> 	pt.defmod.62723	Dicio
seq2seq_def	afinado	fino, purificado.	<def> afinado </def> 	pt.defmod.62724	Dicio
seq2seq_def	insurreição	ato ou efeito de se insurgir . 	<def> insurreição </def> 	pt.defmod.62725	Wikcionário
seq2seq_def	legume	[popular] aguardente da cana-de-açucar; cachaça.	<def> legume </def> 	pt.defmod.62726	Dicio
seq2seq_def	matizado	[popular] cuja cor loiro intensa foi neutralizada, através da diminuição ou neutralização do tom amarelado, falando especialmente de cabelos.	<def> matizado </def> 	pt.defmod.62727	Dicio
